trial_id,gt_color,status,matched_color,bbox,sphere_positions,projected
10,red,SUCCESS,red,"[250, 289, 308, 348]","{'red': (0.5031575440066428, -0.10548636197788944, 0.15715734374859458), 'green': (0.5495873641692364, 0.03227011871127222, 0.15306778808152544), 'blue': (0.5782207964005606, -0.14103535806622766, 0.15809607679923507), 'yellow': (0.5138269742531483, -0.017030645394280952, 0.12217826548186066), 'black': (0.5922641181640274, 0.0836674225577427, 0.15264962513317085), 'pink': (0.5573283579015956, -0.016704418126859216, 0.145790979610842)}","[{'color': 'red', 'id': 2, 'px': 269, 'py': 328, 'depth': 0.9818357920887312}, {'color': 'green', 'id': 3, 'px': 336, 'py': 348, 'depth': 0.9803033862315474}, {'color': 'blue', 'id': 4, 'px': 245, 'py': 358, 'depth': 0.9790773395908032}, {'color': 'yellow', 'id': 5, 'px': 311, 'py': 344, 'depth': 0.9822308727757985}, {'color': 'black', 'id': 6, 'px': 364, 'py': 366, 'depth': 0.9786512660393708}, {'color': 'pink', 'id': 7, 'px': 311, 'py': 353, 'depth': 0.9801918291912586}]"
11,blue,WRONG_MATCH,yellow,"[233, 271, 284, 323]","{'red': (0.47543290773020447, 0.06530364374003828, 0.12294000456534152), 'green': (0.5274193669131749, 0.055326676510867395, 0.12223610797499977), 'blue': (0.5254576711465725, 0.04161991787890598, 0.12597456035345192), 'yellow': (0.4699522428019076, -0.1416900158359419, 0.1950576651325074), 'black': (0.6309007177772621, 0.07535860688236101, 0.13512000432675753), 'pink': (0.5276713027766262, 0.01586918687587463, 0.15961652566164758)}","[{'color': 'red', 'id': 2, 'px': 349, 'py': 329, 'depth': 0.9834027946282546}, {'color': 'green', 'id': 3, 'px': 346, 'py': 349, 'depth': 0.9817837953595486}, {'color': 'blue', 'id': 4, 'px': 340, 'py': 347, 'depth': 0.9817681792264926}, {'color': 'yellow', 'id': 5, 'px': 252, 'py': 304, 'depth': 0.9821175258955938}, {'color': 'black', 'id': 6, 'px': 361, 'py': 391, 'depth': 0.9774894886500667}, {'color': 'pink', 'id': 7, 'px': 327, 'py': 337, 'depth': 0.9809412275981768}]"
12,blue,WRONG_MATCH,green,"[279, 323, 355, 404]","{'red': (0.6418618193958884, 0.10198304276327089, 0.18279302178080375), 'green': (0.6154268356322949, -0.033357802005106366, 0.1454740784513154), 'blue': (0.5691682808648056, 0.07240320478926265, 0.17538779886198713), 'yellow': (0.5514882151884815, 0.1142467037349161, 0.1443750656133146), 'black': (0.49247407898216766, -0.07971035566115926, 0.13110504010847276), 'pink': (0.5676900600951865, 0.11548633236841524, 0.12775710375531082)}","[{'color': 'red', 'id': 2, 'px': 380, 'py': 380, 'depth': 0.9755222777897766}, {'color': 'green', 'id': 3, 'px': 301, 'py': 380, 'depth': 0.9778716327156425}, {'color': 'blue', 'id': 4, 'px': 358, 'py': 348, 'depth': 0.9789895727227337}, {'color': 'yellow', 'id': 5, 'px': 377, 'py': 351, 'depth': 0.9804411385254338}, {'color': 'black', 'id': 6, 'px': 282, 'py': 333, 'depth': 0.9827239788749703}, {'color': 'pink', 'id': 7, 'px': 378, 'py': 364, 'depth': 0.980242331001731}]"
13,blue,SUCCESS,blue,"[261, 305, 341, 387]","{'red': (0.49620838238344783, -0.14683153569324717, 0.14914134424705536), 'green': (0.5080470750676962, -0.07536972497424678, 0.19576145725805838), 'blue': (0.589307860765979, -0.06930054048247117, 0.1541365707204968), 'yellow': (0.5980740268463656, 0.14089016892270492, 0.17392470156630366), 'black': (0.5204842502922168, 0.09164371576097177, 0.1320340903717455), 'pink': (0.48051424050316677, 0.08525355982106336, 0.17514412003542132)}","[{'color': 'red', 'id': 2, 'px': 250, 'py': 328, 'depth': 0.9822338614955081}, {'color': 'green', 'id': 3, 'px': 282, 'py': 317, 'depth': 0.9808037988420757}, {'color': 'blue', 'id': 4, 'px': 282, 'py': 364, 'depth': 0.9787328803095824}, {'color': 'yellow', 'id': 5, 'px': 397, 'py': 362, 'depth': 0.977822314254102}, {'color': 'black', 'id': 6, 'px': 364, 'py': 343, 'depth': 0.9818026607589037}, {'color': 'pink', 'id': 7, 'px': 360, 'py': 314, 'depth': 0.9821948291760382}]"
14,yellow,WRONG_MATCH,red,"[271, 312, 340, 384]","{'red': (0.5663473477690263, 0.011778722491380317, 0.18191519108009913), 'green': (0.45536400812773736, -0.07883098284902247, 0.1997627300276349), 'blue': (0.4627865890057344, 0.11553356683824281, 0.17584540593471987), 'yellow': (0.5742585767905453, -0.05424986347265043, 0.14095211717029016), 'black': (0.5875016518165975, -0.14579408099071337, 0.16949105669972955), 'pink': (0.4821811384249961, 0.09604002329836361, 0.19743346714844595)}","[{'color': 'red', 'id': 2, 'px': 326, 'py': 345, 'depth': 0.9789322467572936}, {'color': 'green', 'id': 3, 'px': 282, 'py': 297, 'depth': 0.9824878028367837}, {'color': 'blue', 'id': 4, 'px': 373, 'py': 308, 'depth': 0.9827428493519738}, {'color': 'yellow', 'id': 5, 'px': 291, 'py': 362, 'depth': 0.9796702400424316}, {'color': 'black', 'id': 6, 'px': 241, 'py': 358, 'depth': 0.9783948568090125}, {'color': 'pink', 'id': 7, 'px': 366, 'py': 307, 'depth': 0.9816619561966539}]"
15,black,WRONG_MATCH,blue,"[237, 278, 299, 340]","{'red': (0.5115657586756812, -0.021214777996795553, 0.12561123201992386), 'green': (0.6304954834874058, -0.10255821703964912, 0.12066052712364987), 'blue': (0.5065015284767124, -0.12588897524961226, 0.18372065455132564), 'yellow': (0.6073457556314708, -0.06906818043293943, 0.1840025267538598), 'black': (0.6162523237371575, -0.07197190062168174, 0.13456333781453003), 'pink': (0.5747515008051975, -0.04531589691453487, 0.16480182743220098)}","[{'color': 'red', 'id': 2, 'px': 309, 'py': 342, 'depth': 0.9822318343445186}, {'color': 'green', 'id': 3, 'px': 263, 'py': 395, 'depth': 0.977917358057744}, {'color': 'blue', 'id': 4, 'px': 257, 'py': 320, 'depth': 0.9811344064730069}, {'color': 'yellow', 'id': 5, 'px': 281, 'py': 362, 'depth': 0.9771219234783077}, {'color': 'black', 'id': 6, 'px': 280, 'py': 384, 'depth': 0.9781400372891667}, {'color': 'pink', 'id': 7, 'px': 296, 'py': 354, 'depth': 0.9790417068329321}]"
16,pink,WRONG_MATCH,green,"[247, 287, 291, 331]","{'red': (0.5429124913891878, 0.0827146699116306, 0.14313261262601917), 'green': (0.4968644095225474, -0.10735500898746048, 0.1994438890544838), 'blue': (0.5466103911679033, 0.14452662362716526, 0.17612729657176507), 'yellow': (0.5004260856772558, 0.11163665551173221, 0.16098281492237543), 'black': (0.6040107686449487, 0.018587221601361337, 0.1618088973936086), 'pink': (0.5172614989968841, -0.008536635922158337, 0.16311524707957548)}","[{'color': 'red', 'id': 2, 'px': 361, 'py': 348, 'depth': 0.9807803506936407}, {'color': 'green', 'id': 3, 'px': 267, 'py': 311, 'depth': 0.981114059409578}, {'color': 'blue', 'id': 4, 'px': 394, 'py': 338, 'depth': 0.9798533193297921}, {'color': 'yellow', 'id': 5, 'px': 373, 'py': 326, 'depth': 0.9818439218767261}, {'color': 'black', 'id': 6, 'px': 330, 'py': 369, 'depth': 0.9779060817705926}, {'color': 'pink', 'id': 7, 'px': 315, 'py': 331, 'depth': 0.9812259659691072}]"
17,pink,WRONG_MATCH,red,"[246, 294, 350, 401]","{'red': (0.63705788984632, -0.0848547994698123, 0.18767633785167578), 'green': (0.6218720775384527, 0.12010754086377037, 0.18190792215327356), 'blue': (0.48148632232848915, 0.08668253097394207, 0.19207697455308165), 'yellow': (0.4976511018017683, -0.11363289515423639, 0.15991949319775287), 'black': (0.45015939561507023, 0.08429023418589587, 0.1889467603692654), 'pink': (0.48986537182102335, -0.01075259237204862, 0.1287400058699821)}","[{'color': 'red', 'id': 2, 'px': 270, 'py': 376, 'depth': 0.9756031351437682}, {'color': 'green', 'id': 3, 'px': 388, 'py': 370, 'depth': 0.9765155395851304}, {'color': 'blue', 'id': 4, 'px': 361, 'py': 309, 'depth': 0.981801664007153}, {'color': 'yellow', 'id': 5, 'px': 265, 'py': 325, 'depth': 0.9819584838563691}, {'color': 'black', 'id': 6, 'px': 359, 'py': 299, 'depth': 0.9828701353665827}, {'color': 'pink', 'id': 7, 'px': 315, 'py': 333, 'depth': 0.9828525101487808}]"
18,red,WRONG_MATCH,black,"[247, 285, 345, 388]","{'red': (0.5251761793642092, -0.0611778482350472, 0.17549634047209356), 'green': (0.569744763662798, 0.058322178618477494, 0.15091074688385253), 'blue': (0.5151423307220079, 0.02456375789851109, 0.15730906440585157), 'yellow': (0.57935564278587, 0.06353418157411969, 0.18255806903691024), 'black': (0.5857853096672903, -0.032749646565093785, 0.16008563724078428), 'pink': (0.5707257991226214, -0.10244988310182387, 0.12315248785592257)}","[{'color': 'red', 'id': 2, 'px': 289, 'py': 330, 'depth': 0.9806619395053449}, {'color': 'green', 'id': 3, 'px': 350, 'py': 357, 'depth': 0.979594622272316}, {'color': 'blue', 'id': 4, 'px': 331, 'py': 333, 'depth': 0.981428766596594}, {'color': 'yellow', 'id': 5, 'px': 354, 'py': 350, 'depth': 0.9783803230181626}, {'color': 'black', 'id': 6, 'px': 302, 'py': 361, 'depth': 0.9787187866316416}, {'color': 'pink', 'id': 7, 'px': 267, 'py': 366, 'depth': 0.9802407469240144}]"
19,yellow,WRONG_MATCH,black,"[253, 294, 348, 388]","{'red': (0.5000270355451599, -0.022446074586307097, 0.129679685094692), 'green': (0.5295877932290053, -0.1051763843433664, 0.1512783917094921), 'blue': (0.46561114352801586, 0.06043602254252026, 0.15204581901592573), 'yellow': (0.5700573702172077, -0.09118825378067247, 0.1231619014278665), 'black': (0.6093402185000183, -0.021732376735647096, 0.12110291207575877), 'pink': (0.5197428973096527, -0.0798959207715121, 0.1606303860634709)}","[{'color': 'red', 'id': 2, 'px': 309, 'py': 336, 'depth': 0.9825160070003024}, {'color': 'green', 'id': 3, 'px': 268, 'py': 340, 'depth': 0.9810645258916794}, {'color': 'blue', 'id': 4, 'px': 347, 'py': 317, 'depth': 0.9831305917571851}, {'color': 'yellow', 'id': 5, 'px': 273, 'py': 366, 'depth': 0.9802652760281001}, {'color': 'black', 'id': 6, 'px': 308, 'py': 385, 'depth': 0.9787916618067793}, {'color': 'pink', 'id': 7, 'px': 280, 'py': 333, 'depth': 0.9811959138161528}]"
20,red,WRONG_MATCH,pink,"[274, 313, 299, 334]","{'red': (0.6025388040077334, -0.05961455095969695, 0.14139295018097384), 'green': (0.5703928307863277, 0.04915305374263529, 0.1537971763601334), 'blue': (0.6160101561733082, -0.04206142499215154, 0.14086007596220224), 'yellow': (0.4664381559511519, 0.06296693696659855, 0.12500207624304335), 'black': (0.5598268167610689, -0.058523098473725346, 0.16006567770241054), 'pink': (0.49323499815965804, -0.05471044589425979, 0.1733156980656657)}","[{'color': 'red', 'id': 2, 'px': 287, 'py': 375, 'depth': 0.9785291533092425}, {'color': 'green', 'id': 3, 'px': 345, 'py': 356, 'depth': 0.9794966439325341}, {'color': 'blue', 'id': 4, 'px': 296, 'py': 381, 'depth': 0.9779756378112118}, {'color': 'yellow', 'id': 5, 'px': 348, 'py': 326, 'depth': 0.9836276027744738}, {'color': 'black', 'id': 6, 'px': 289, 'py': 349, 'depth': 0.9797473468083644}, {'color': 'pink', 'id': 7, 'px': 293, 'py': 319, 'depth': 0.9818165068842117}]"
21,yellow,NO_PROJECTION_MATCH,,"[328, 374, 348, 397]","{'red': (0.5401077869338693, -0.0025017066744449368, 0.18781717498802641), 'green': (0.4738275905980634, -0.07894036248822534, 0.15034016903271616), 'blue': (0.46942169827903085, -0.0829319313005539, 0.1424036874797027), 'yellow': (0.6190085149638014, 0.05513501241330515, 0.17215097967028195), 'black': (0.49473893555600806, -0.016284323028212006, 0.17666828157102296), 'pink': (0.5074652547111413, -0.11367908354604944, 0.13379596594797805)}","[{'color': 'red', 'id': 2, 'px': 318, 'py': 332, 'depth': 0.979811581324805}, {'color': 'green', 'id': 3, 'px': 283, 'py': 320, 'depth': 0.9829140102589051}, {'color': 'blue', 'id': 4, 'px': 282, 'py': 321, 'depth': 0.9832046522072784}, {'color': 'yellow', 'id': 5, 'px': 351, 'py': 372, 'depth': 0.9769418751489934}, {'color': 'black', 'id': 6, 'px': 312, 'py': 319, 'depth': 0.981693505860492}, {'color': 'pink', 'id': 7, 'px': 265, 'py': 338, 'depth': 0.9821924107631287}]"
22,blue,WRONG_MATCH,pink,"[238, 279, 339, 383]","{'red': (0.6200515454817793, 0.04337377772788398, 0.1412771716603013), 'green': (0.47596554043541045, -0.0014184973160659697, 0.14420445261921658), 'blue': (0.48830297752241036, 0.06164421937411771, 0.14667488642743928), 'yellow': (0.5493786558580034, 0.05141056689208279, 0.13693156535609916), 'black': (0.6372126663226466, -0.06535277053837597, 0.12887926193072327), 'pink': (0.5667342082917735, -0.12003352803098769, 0.13426049043543734)}","[{'color': 'red', 'id': 2, 'px': 343, 'py': 383, 'depth': 0.9777895005225159}, {'color': 'green', 'id': 3, 'px': 319, 'py': 323, 'depth': 0.9829707246562274}, {'color': 'blue', 'id': 4, 'px': 348, 'py': 326, 'depth': 0.9825374053126831}, {'color': 'yellow', 'id': 5, 'px': 345, 'py': 353, 'depth': 0.9806930556869475}, {'color': 'black', 'id': 6, 'px': 283, 'py': 396, 'depth': 0.9773894365789992}, {'color': 'pink', 'id': 7, 'px': 258, 'py': 361, 'depth': 0.9801205922896834}]"
23,black,WRONG_MATCH,blue,"[239, 281, 309, 351]","{'red': (0.5733202981261106, 0.1115231077169904, 0.1641250113867237), 'green': (0.49634283720950373, 0.0029142069904614376, 0.19757254730269658), 'blue': (0.5320475227903774, -0.11769868533988148, 0.18185341318193246), 'yellow': (0.5043825620601712, 0.011276503093611223, 0.17396959989524635), 'black': (0.5637042833256202, 0.022551070755462338, 0.12925214992946737), 'pink': (0.5027608551844619, 0.029487506493901694, 0.12856312970567071)}","[{'color': 'red', 'id': 2, 'px': 378, 'py': 354, 'depth': 0.9791165730512066}, {'color': 'green', 'id': 3, 'px': 321, 'py': 312, 'depth': 0.9811746321089959}, {'color': 'blue', 'id': 4, 'px': 260, 'py': 331, 'depth': 0.9802601079250641}, {'color': 'yellow', 'id': 5, 'px': 325, 'py': 323, 'depth': 0.9814263888346133}, {'color': 'black', 'id': 6, 'px': 331, 'py': 361, 'depth': 0.9803536194216365}, {'color': 'pink', 'id': 7, 'px': 333, 'py': 337, 'depth': 0.9824523576583819}]"
24,pink,SUCCESS,pink,"[262, 308, 348, 398]","{'red': (0.5296234729682812, -0.04046236704067857, 0.17116802931835423), 'green': (0.5160931902298972, 0.0881814257930604, 0.1916985693109619), 'blue': (0.5870869796547106, -0.007980368254889542, 0.1423811833035128), 'yellow': (0.4990007434691639, 0.0483580547247314, 0.19623045717734022), 'black': (0.5381997341314922, -0.13842974946847017, 0.18465438376214693), 'pink': (0.6271600982213316, -0.06009845556905734, 0.18191122232969176)}","[{'color': 'red', 'id': 2, 'px': 299, 'py': 333, 'depth': 0.9806029585862517}, {'color': 'green', 'id': 3, 'px': 364, 'py': 321, 'depth': 0.98060966429625}, {'color': 'blue', 'id': 4, 'px': 315, 'py': 367, 'depth': 0.9791312070465148}, {'color': 'yellow', 'id': 5, 'px': 343, 'py': 313, 'depth': 0.9811123967139038}, {'color': 'black', 'id': 6, 'px': 248, 'py': 332, 'depth': 0.9799620155981253}, {'color': 'pink', 'id': 7, 'px': 285, 'py': 373, 'depth': 0.9762655324884499}]"
25,yellow,BBOX_OUTSIDE_FRAME,,"[352, 391, 318, 359]",,
26,yellow,BBOX_OUTSIDE_FRAME,,"[299, 330, 287, 324]",,
27,red,BBOX_OUTSIDE_FRAME,,"[376, 418, 330, 374]",,
28,black,GROUNDING_FAIL,,,,
29,blue,BBOX_OUTSIDE_FRAME,,"[368, 413, 348, 399]",,
30,red,NO_PROJECTION_MATCH,,"[316, 354, 321, 361]","{'red': (0.4920446065731432, 0.11194422827564246, 0.18470055115868803), 'green': (0.49053901617059603, -0.06491440602765743, 0.1594370560043725), 'blue': (0.45499339734668387, 0.09096647137853217, 0.13754797384627132), 'yellow': (0.4706787455045245, -0.028973685518154074, 0.1798048249196675), 'black': (0.6298988413596514, -0.08360016053709074, 0.15930802123486437), 'pink': (0.511833397443753, 0.032330208119073084, 0.12616786198031957)}","[{'color': 'red', 'id': 2, 'px': 374, 'py': 315, 'depth': 0.9816085045814593}, {'color': 'green', 'id': 3, 'px': 289, 'py': 323, 'depth': 0.9822008096239362}, {'color': 'blue', 'id': 4, 'px': 360, 'py': 318, 'depth': 0.9837230658252049}, {'color': 'yellow', 'id': 5, 'px': 306, 'py': 309, 'depth': 0.9824133844373875}, {'color': 'black', 'id': 6, 'px': 272, 'py': 382, 'depth': 0.9768252167550966}, {'color': 'pink', 'id': 7, 'px': 335, 'py': 342, 'depth': 0.9822115009173925}]"
