sample,color,gt_box,pred_box,IoU,center_err,contrast,bbox_pixel_area,failure_type,predicted_color
sample_0004,yellow sphere,"[364, 304, 18, 13]","[364.42813873291016, 304.72838401794434, 19.052382707595825, 19.162307381629944]",0.6409,0.84,93.8481,234,Good,yellow sphere
sample_0005,red sphere,"[403, 314, 20, 14]","[403.32984924316406, 315.1260566711426, 19.644312858581543, 20.160183906555176]",0.6769,1.17,108.097,280,Good,red sphere
sample_0005,green sphere,"[225, 287, 17, 11]","[317.29862213134766, 390.78200340270996, 23.743436336517334, 26.384918689727783]",0.0,138.89,89.0149,187,Miss,other
sample_0005,blue sphere,"[256, 293, 18, 12]","[255.94820022583008, 293.051118850708, 18.49576234817505, 17.986276745796204]",0.6493,0.07,85.1752,216,Good,blue sphere
sample_0005,yellow sphere,"[317, 390, 24, 22]","[317.31122970581055, 390.7407474517822, 23.648643493652344, 26.319778561592102]",0.817,0.8,91.3024,528,Good,yellow sphere
sample_0006,red sphere,"[416, 342, 21, 17]","[215.41656494140625, 400.3420829772949, 25.34569025039673, 27.673396468162537]",0.0,208.9,108.6957,357,Miss,other
sample_0006,green sphere,"[405, 279, 17, 11]","[215.4512596130371, 400.2952766418457, 25.46640157699585, 27.760607600212097]",0.0,225.04,105.2333,187,Miss,other
sample_0006,blue sphere,"[407, 299, 18, 12]","[215.42774200439453, 400.33318519592285, 25.439321994781494, 27.734309434890747]",0.0,216.72,94.8559,216,Miss,other
sample_0006,yellow sphere,"[215, 399, 25, 23]","[215.42749404907227, 400.26031494140625, 25.45807123184204, 27.722729444503784]",0.8031,1.33,90.0615,575,Good,yellow sphere
sample_0007,red sphere,"[244, 401, 24, 23]","[244.25586700439453, 402.3097801208496, 25.57981014251709, 27.732455134391785]",0.7781,1.33,98.1055,552,Good,red sphere
sample_0007,green sphere,"[373, 352, 22, 17]","[373.30345153808594, 352.7354049682617, 21.707756519317627, 23.195491433143616]",0.7167,0.8,104.963,374,Good,green sphere
sample_0007,blue sphere,"[230, 293, 17, 12]","[230.56184768676758, 293.0273723602295, 19.056971073150635, 18.109238147735596]",0.5911,0.56,86.2473,204,Good,blue sphere
sample_0007,yellow sphere,"[383, 377, 23, 21]","[383.3112335205078, 377.7250099182129, 23.76772165298462, 25.198436379432678]",0.8065,0.79,94.1988,483,Good,yellow sphere
sample_0008,red sphere,"[342, 306, 19, 13]","[341.72203063964844, 307.161226272583, 19.00744080543518, 19.720993638038635]",0.6433,1.19,104.3735,247,Good,red sphere
sample_0008,green sphere,"[309, 394, 24, 22]","[309.4491767883301, 394.23291206359863, 24.637157917022705, 27.67252027988434]",0.767,0.51,97.1912,528,Good,green sphere
sample_0008,blue sphere,"[332, 332, 20, 16]","[332.76214599609375, 332.5033664703369, 20.66084384918213, 21.329264044761658]",0.6995,0.91,100.4118,320,Good,blue sphere
sample_0008,yellow sphere,"[367, 296, 18, 13]","[309.4825553894043, 394.24072265625, 24.43373680114746, 27.61658012866974]",0.0,113.84,94.3888,234,Miss,other
sample_0009,red sphere,"[239, 285, 17, 11]","[239.1486930847168, 286.27936363220215, 17.68563747406006, 17.97007441520691]",0.5884,1.29,88.8044,187,Good,red sphere
sample_0009,green sphere,"[334, 307, 19, 13]","[392.9351806640625, 376.9083881378174, 24.083917140960693, 24.751639366149902]",0.0,91.44,102.1166,247,Miss,other
sample_0009,blue sphere,"[276, 285, 17, 11]","[392.90332794189453, 376.9460391998291, 24.114489555358887, 24.804237484931946]",0.0,148.73,86.0221,187,Miss,other
sample_0009,yellow sphere,"[393, 376, 23, 21]","[392.96241760253906, 376.8651580810547, 24.07384157180786, 24.77641761302948]",0.8098,0.87,94.7404,483,Good,yellow sphere
sample_0010,red sphere,"[346, 340, 21, 16]","[242.0857810974121, 370.63055992126465, 23.201568126678467, 24.90232229232788]",0.0,108.33,102.714,336,Miss,other
sample_0010,green sphere,"[354, 391, 24, 22]","[242.13922500610352, 370.5984306335449, 23.202295303344727, 24.95981276035309]",0.0,113.71,104.9024,528,Miss,other
sample_0010,blue sphere,"[286, 304, 19, 13]","[242.10987091064453, 370.62938690185547, 23.317298889160156, 25.03478229045868]",0.0,79.79,84.9442,247,Miss,other
sample_0010,yellow sphere,"[242, 370, 23, 20]","[242.1390151977539, 370.58547019958496, 23.117289543151855, 24.91368591785431]",0.7937,0.6,88.5583,460,Good,yellow sphere
sample_0011,red sphere,"[251, 297, 18, 12]","[251.02792739868164, 297.5477886199951, 18.783252239227295, 18.803701400756836]",0.6116,0.55,86.3859,216,Good,red sphere
sample_0011,green sphere,"[387, 386, 24, 22]","[386.93973541259766, 387.27078437805176, 24.6490478515625, 26.025232672691345]",0.8231,1.27,105.6062,528,Good,green sphere
sample_0011,blue sphere,"[326, 355, 22, 18]","[326.29150390625, 355.1518249511719, 22.277381420135498, 23.609694242477417]",0.7438,0.33,97.7695,396,Good,blue sphere
sample_0011,yellow sphere,"[378, 299, 19, 13]","[378.9675521850586, 299.6985626220703, 18.615498542785645, 18.88791024684906]",0.6325,1.19,94.9939,247,Good,yellow sphere
sample_0012,red sphere,"[387, 301, 18, 12]","[386.8465042114258, 301.821870803833, 18.676263093948364, 18.79100203514099]",0.6155,0.84,99.5535,216,Good,red sphere
sample_0012,green sphere,"[318, 367, 23, 20]","[318.46364974975586, 367.4927043914795, 23.4594464302063, 24.423662424087524]",0.7882,0.68,96.1041,460,Good,green sphere
sample_0012,blue sphere,"[384, 380, 23, 20]","[384.66121673583984, 380.1759624481201, 24.423692226409912, 25.87670624256134]",0.7278,0.68,103.1057,460,Good,blue sphere
sample_0012,yellow sphere,"[338, 336, 20, 16]","[338.4792709350586, 336.32497787475586, 20.64094066619873, 21.680118441581726]",0.7054,0.58,92.0425,320,Good,yellow sphere
sample_0013,red sphere,"[371, 382, 24, 21]","[371.33033752441406, 383.1944274902344, 23.964123725891113, 25.99215030670166]",0.7881,1.24,106.5343,504,Good,red sphere
sample_0013,green sphere,"[448, 354, 22, 18]","[448.7104797363281, 354.65489387512207, 23.01992177963257, 23.20883274078369]",0.7295,0.97,105.5206,396,Good,green sphere
sample_0013,blue sphere,"[335, 361, 22, 18]","[334.9271011352539, 361.2783622741699, 22.98271894454956, 23.9784175157547]",0.7186,0.29,102.1311,396,Good,blue sphere
sample_0013,yellow sphere,"[319, 305, 18, 13]","[319.2101287841797, 305.8627510070801, 18.53547692298889, 19.13535475730896]",0.6597,0.89,90.7031,234,Good,yellow sphere
sample_0014,red sphere,"[303, 384, 24, 21]","[303.6603546142578, 385.2455520629883, 24.018807411193848, 25.87877869606018]",0.7719,1.41,96.9131,504,Good,red sphere
sample_0014,green sphere,"[333, 281, 17, 11]","[332.80033111572266, 281.9516372680664, 17.057881355285645, 17.127272486686707]",0.6296,0.97,102.6758,187,Good,green sphere
sample_0014,blue sphere,"[382, 284, 17, 12]","[382.27264404296875, 284.19116020202637, 17.619107961654663, 17.906693816184998]",0.6466,0.33,100.8617,204,Good,blue sphere
sample_0014,yellow sphere,"[359, 295, 18, 12]","[359.6621322631836, 295.1176357269287, 17.916958332061768, 18.017279505729675]",0.6266,0.67,90.4771,216,Good,yellow sphere
sample_0015,red sphere,"[445, 348, 21, 17]","[445.7145309448242, 349.5416736602783, 22.765305042266846, 22.75494396686554]",0.6892,1.7,107.0712,357,Good,red sphere
sample_0015,green sphere,"[250, 280, 17, 11]","[249.8711395263672, 280.33458709716797, 17.82151222229004, 17.925379872322083]",0.5854,0.36,87.2452,187,Good,green sphere
sample_0015,blue sphere,"[385, 359, 22, 18]","[385.6166458129883, 359.17768478393555, 22.72421360015869, 24.205087423324585]",0.7057,0.64,103.1074,396,Good,blue sphere
sample_0015,yellow sphere,"[259, 302, 19, 13]","[259.7890281677246, 302.6745414733887, 18.81787896156311, 19.0151184797287]",0.6379,1.04,78.4226,247,Good,yellow sphere
sample_0016,red sphere,"[453, 373, 23, 20]","[453.7742233276367, 373.7467575073242, 25.048978328704834, 25.188932418823242]",0.7291,1.08,106.4765,460,Good,red sphere
sample_0016,green sphere,"[316, 307, 19, 14]","[315.8698844909668, 307.5973606109619, 18.768551349639893, 19.268887639045715]",0.7192,0.61,96.0131,266,Good,green sphere
sample_0016,blue sphere,"[367, 286, 17, 12]","[367.1266555786133, 286.2201118469238, 17.902398109436035, 17.90660798549652]",0.6364,0.25,99.4995,204,Good,blue sphere
sample_0016,yellow sphere,"[372, 338, 20, 16]","[372.04498291015625, 338.20664405822754, 20.97407817840576, 22.008590698242188]",0.6932,0.21,92.6805,320,Good,yellow sphere
sample_0017,red sphere,"[403, 314, 19, 14]","[403.21197509765625, 314.54137802124023, 19.65598464012146, 19.415724277496338]",0.697,0.58,103.8646,266,Good,red sphere
sample_0017,green sphere,"[211, 378, 23, 20]","[211.2236213684082, 378.1945037841797, 23.842966556549072, 26.157869696617126]",0.7376,0.3,93.7031,460,Good,green sphere
sample_0017,blue sphere,"[228, 291, 17, 12]","[228.6732292175293, 291.2266159057617, 19.019501209259033, 18.30675959587097]",0.5859,0.71,86.5136,204,Good,blue sphere
sample_0017,yellow sphere,"[357, 278, 17, 10]","[211.23418807983398, 378.1943607330322, 23.795454502105713, 26.119953989982605]",0.0,176.88,90.2891,170,Miss,other
sample_0018,red sphere,"[191, 361, 22, 19]","[191.2619400024414, 362.2031307220459, 24.13973093032837, 24.0200275182724]",0.7209,1.23,86.8115,418,Good,red sphere
sample_0018,green sphere,"[442, 360, 22, 18]","[442.8596878051758, 360.22135734558105, 23.007421493530273, 23.92630934715271]",0.6996,0.89,104.1543,396,Good,green sphere
sample_0018,blue sphere,"[395, 345, 21, 17]","[395.3140640258789, 345.60296058654785, 21.869571208953857, 22.867716550827026]",0.7138,0.68,106.0284,357,Good,blue sphere
sample_0018,yellow sphere,"[244, 364, 22, 19]","[244.73670959472656, 364.1331195831299, 22.797300815582275, 23.527708053588867]",0.7583,0.75,89.697,418,Good,yellow sphere
sample_0019,red sphere,"[274, 326, 20, 16]","[273.9446449279785, 326.8199157714844, 20.74753761291504, 20.842219591140747]",0.74,0.82,90.8516,320,Good,red sphere
sample_0019,green sphere,"[197, 348, 21, 17]","[364.44751739501953, 336.3514995574951, 21.113624572753906, 21.75327479839325]",0.0,167.85,85.7541,357,Miss,other
sample_0019,blue sphere,"[208, 370, 23, 20]","[208.4307861328125, 370.42877197265625, 24.179105758666992, 24.996108412742615]",0.7611,0.61,91.5853,460,Good,blue sphere
sample_0019,yellow sphere,"[364, 336, 20, 16]","[364.483642578125, 336.30746841430664, 21.12086057662964, 21.7255300283432]",0.6974,0.57,92.574,320,Good,yellow sphere
sample_0020,red sphere,"[359, 324, 20, 15]","[359.5672607421875, 324.6869373321533, 20.186069011688232, 20.757974982261658]",0.6873,0.89,103.7758,300,Good,red sphere
sample_0020,green sphere,"[355, 351, 22, 18]","[250.73858261108398, 364.89415168762207, 22.943758964538574, 24.545624256134033]",0.0,105.18,101.3547,396,Miss,other
sample_0020,blue sphere,"[228, 282, 17, 11]","[228.23314666748047, 282.3152732849121, 18.175491094589233, 18.022887110710144]",0.5709,0.39,92.9614,187,Good,blue sphere
sample_0020,yellow sphere,"[250, 364, 22, 19]","[250.7370948791504, 364.84620094299316, 22.8621768951416, 24.553096890449524]",0.7268,1.12,89.4942,418,Good,yellow sphere
sample_0021,red sphere,"[339, 276, 17, 11]","[338.90125274658203, 276.8972396850586, 16.69727921485901, 16.974661946296692]",0.6405,0.9,103.7552,187,Good,red sphere
sample_0021,green sphere,"[311, 294, 18, 12]","[364.71439361572266, 363.28763008117676, 22.333755493164062, 23.99913489818573]",0.0,87.67,91.6106,216,Miss,other
sample_0021,blue sphere,"[361, 288, 17, 12]","[361.18370056152344, 288.20262908935547, 18.412879705429077, 18.079041838645935]",0.6128,0.27,98.3374,204,Good,blue sphere
sample_0021,yellow sphere,"[364, 363, 22, 19]","[364.7579574584961, 363.2489776611328, 22.307395935058594, 23.98565948009491]",0.7438,0.8,94.0096,418,Good,yellow sphere
sample_0022,red sphere,"[205, 332, 21, 16]","[204.76190567016602, 332.71788597106934, 20.94569206237793, 21.062459349632263]",0.7448,0.76,85.996,336,Good,red sphere
sample_0022,green sphere,"[246, 305, 18, 14]","[388.4343719482422, 366.2006950378418, 23.277311325073242, 24.06273365020752]",0.0,155.03,85.7497,252,Miss,other
sample_0022,blue sphere,"[388, 366, 22, 19]","[388.43494415283203, 366.2058162689209, 23.422298431396484, 24.161746501922607]",0.7386,0.48,102.7831,418,Good,blue sphere
sample_0022,yellow sphere,"[266, 337, 21, 16]","[266.85009002685547, 337.2769546508789, 21.027672290802002, 21.910518407821655]",0.6805,0.89,86.2362,336,Good,yellow sphere
sample_0023,red sphere,"[304, 303, 18, 13]","[304.2707633972168, 303.6349582672119, 18.749749660491943, 19.341681003570557]",0.6452,0.69,93.7369,234,Good,red sphere
sample_0023,green sphere,"[398, 294, 18, 12]","[260.66797256469727, 357.19350814819336, 21.848373413085938, 23.559821248054504]",0.0,151.17,101.9976,216,Miss,other
sample_0023,blue sphere,"[400, 395, 25, 23]","[400.90991973876953, 395.8515930175781, 25.141139030456543, 26.938040256500244]",0.7978,1.25,106.7465,575,Good,blue sphere
sample_0023,yellow sphere,"[260, 357, 22, 18]","[260.6521987915039, 357.16429710388184, 21.779496669769287, 23.54283034801483]",0.7261,0.67,88.4468,396,Good,yellow sphere
sample_0024,red sphere,"[363, 330, 20, 15]","[362.7283477783203, 330.3698444366455, 20.724542140960693, 21.468610167503357]",0.6743,0.46,102.0919,300,Good,red sphere
sample_0024,green sphere,"[343, 380, 23, 21]","[342.9385757446289, 381.04273796081543, 24.295625686645508, 26.03691279888153]",0.7635,1.04,103.5123,483,Good,green sphere
sample_0024,blue sphere,"[402, 322, 20, 14]","[402.3088836669922, 322.38183975219727, 20.292859077453613, 20.967421531677246]",0.6493,0.49,103.809,280,Good,blue sphere
sample_0024,yellow sphere,"[282, 290, 18, 11]","[282.40447998046875, 290.3954601287842, 17.700542211532593, 17.937535643577576]",0.593,0.57,78.9905,198,Good,yellow sphere
sample_0025,red sphere,"[338, 367, 23, 19]","[338.4746551513672, 367.6754093170166, 22.999117374420166, 24.99161660671234]",0.7331,0.83,105.0823,437,Good,red sphere
sample_0025,green sphere,"[206, 311, 19, 14]","[206.2403106689453, 311.31872177124023, 19.58572030067444, 19.786648750305176]",0.6864,0.4,87.7881,266,Good,green sphere
sample_0025,blue sphere,"[291, 393, 24, 22]","[291.62221908569336, 393.19610595703125, 24.915454387664795, 27.602747082710266]",0.7585,0.65,95.8825,528,Good,blue sphere
sample_0025,yellow sphere,"[385, 319, 19, 14]","[384.8701477050781, 318.8697052001953, 20.292651653289795, 20.51877737045288]",0.6388,0.18,92.0684,266,Good,yellow sphere
sample_0026,red sphere,"[322, 368, 22, 19]","[322.07691192626953, 369.62425231933594, 23.17692995071411, 24.449756741523743]",0.7376,1.63,100.0596,418,Good,red sphere
sample_0026,green sphere,"[294, 317, 19, 14]","[294.9319648742676, 317.16187477111816, 19.625632762908936, 20.155842304229736]",0.6366,0.95,93.1083,266,Good,green sphere
sample_0026,blue sphere,"[395, 379, 23, 21]","[395.38330078125, 379.30870056152344, 24.027092456817627, 25.98754048347473]",0.7735,0.49,105.487,483,Good,blue sphere
sample_0026,yellow sphere,"[368, 279, 17, 11]","[368.1156921386719, 279.5515823364258, 17.194859981536865, 16.97313129901886]",0.6396,0.56,93.094,187,Good,yellow sphere
sample_0027,red sphere,"[284, 346, 21, 17]","[284.0185546875, 346.54014587402344, 21.429462432861328, 22.814045548439026]",0.7302,0.54,93.7245,357,Good,red sphere
sample_0027,green sphere,"[372, 330, 20, 16]","[372.2527313232422, 330.4537296295166, 20.656988620758057, 21.088814735412598]",0.7346,0.52,102.966,320,Good,green sphere
sample_0027,blue sphere,"[345, 308, 18, 14]","[345.3617477416992, 308.25342178344727, 19.470893144607544, 19.839479327201843]",0.6524,0.44,98.5694,252,Good,blue sphere
sample_0027,yellow sphere,"[406, 318, 20, 15]","[406.3737487792969, 318.57516288757324, 19.69822645187378, 20.462565422058105]",0.7109,0.69,96.281,300,Good,yellow sphere
sample_0028,red sphere,"[423, 332, 20, 15]","[423.4553527832031, 333.24122428894043, 21.27774477005005, 21.788699626922607]",0.6471,1.32,103.2134,300,Good,red sphere
sample_0028,green sphere,"[295, 305, 18, 13]","[422.82787322998047, 308.59957695007324, 18.709659576416016, 19.189319014549255]",0.0,127.88,90.5143,234,Miss,other
sample_0028,blue sphere,"[220, 340, 21, 17]","[220.21282196044922, 340.5129146575928, 22.15891122817993, 22.75718092918396]",0.7079,0.56,85.7302,357,Good,blue sphere
sample_0028,yellow sphere,"[423, 308, 19, 13]","[422.8288269042969, 308.56807708740234, 18.645459413528442, 19.19398069381714]",0.6687,0.59,94.8467,247,Good,yellow sphere
sample_0029,red sphere,"[460, 389, 24, 22]","[460.22422790527344, 389.68969345092773, 25.92428684234619, 26.246702671051025]",0.776,0.73,104.6756,528,Good,red sphere
sample_0029,green sphere,"[437, 352, 22, 18]","[437.22049713134766, 353.13775062561035, 21.999967098236084, 23.715339303016663]",0.7457,1.16,107.7719,396,Good,green sphere
sample_0029,blue sphere,"[364, 402, 25, 24]","[363.88736724853516, 402.40931510925293, 25.0887131690979, 28.001015782356262]",0.8498,0.42,105.4945,600,Good,blue sphere
sample_0029,yellow sphere,"[333, 366, 23, 19]","[333.6885070800781, 366.69270515441895, 22.478597164154053, 24.272226691246033]",0.7433,0.98,93.6605,437,Good,yellow sphere
sample_0030,red sphere,"[379, 347, 21, 17]","[379.6889877319336, 348.63741874694824, 21.749634742736816, 23.10655117034912]",0.6924,1.78,106.664,357,Good,red sphere
sample_0030,green sphere,"[253, 351, 22, 18]","[253.3189582824707, 351.3456916809082, 21.942386627197266, 23.70465338230133]",0.7404,0.47,91.7334,396,Good,green sphere
sample_0030,blue sphere,"[372, 286, 17, 11]","[371.88079833984375, 286.39034271240234, 18.074620962142944, 17.86217987537384]",0.5792,0.41,100.7517,187,Good,blue sphere
sample_0030,yellow sphere,"[355, 369, 23, 20]","[253.2938575744629, 351.3016891479492, 21.843907833099365, 23.566226363182068]",0.0,103.23,92.6207,460,Miss,other
sample_0031,red sphere,"[280, 315, 19, 14]","[279.9934768676758, 315.5189323425293, 19.573906660079956, 19.87838387489319]",0.6836,0.52,86.2524,266,Good,red sphere
sample_0031,green sphere,"[323, 383, 24, 21]","[239.75885391235352, 357.9902172088623, 22.820706367492676, 23.584002256393433]",0.0,86.92,100.3032,504,Miss,other
sample_0031,blue sphere,"[349, 302, 19, 13]","[239.71136093139648, 358.02297592163086, 22.893145084381104, 23.65452289581299]",0.0,122.81,103.9686,247,Miss,other
sample_0031,yellow sphere,"[239, 358, 22, 18]","[239.8175048828125, 357.96180725097656, 22.86938190460205, 23.62127423286438]",0.7112,0.82,88.4133,396,Good,yellow sphere
sample_0032,red sphere,"[428, 308, 19, 14]","[428.01353454589844, 308.6975955963135, 19.63368058204651, 19.41717267036438]",0.6977,0.7,103.2873,266,Good,red sphere
sample_0032,green sphere,"[404, 361, 23, 19]","[404.8786926269531, 362.1316909790039, 22.72975206375122, 23.76419484615326]",0.7467,1.43,108.8575,437,Good,green sphere
sample_0032,blue sphere,"[372, 346, 21, 17]","[371.8555450439453, 346.6672897338867, 22.323813438415527, 23.085540533065796]",0.6927,0.68,104.0349,357,Good,blue sphere
sample_0032,yellow sphere,"[443, 385, 23, 21]","[443.81988525390625, 385.85174560546875, 24.848978519439697, 26.312538385391235]",0.7387,1.18,95.8703,483,Good,yellow sphere
sample_0033,red sphere,"[239, 323, 20, 15]","[238.7814712524414, 323.8329219818115, 20.57713747024536, 21.170534491539]",0.6887,0.86,85.744,300,Good,red sphere
sample_0033,green sphere,"[244, 299, 18, 12]","[244.71559524536133, 299.29893493652344, 18.787238597869873, 18.25697422027588]",0.6116,0.78,86.3521,216,Good,green sphere
sample_0033,blue sphere,"[276, 308, 19, 14]","[276.4701843261719, 308.22896003723145, 19.547442197799683, 20.032662749290466]",0.6676,0.52,83.9701,266,Good,blue sphere
sample_0033,yellow sphere,"[374, 311, 19, 13]","[373.9394760131836, 311.7795467376709, 18.69857907295227, 19.017491340637207]",0.6761,0.78,94.6392,247,Good,yellow sphere
sample_0034,red sphere,"[442, 381, 23, 21]","[442.85778045654297, 382.3293113708496, 25.016121864318848, 26.178263425827026]",0.7375,1.58,107.7225,483,Good,red sphere
sample_0034,green sphere,"[354, 302, 19, 13]","[270.2923393249512, 374.77612495422363, 23.445403575897217, 24.705167412757874]",0.0,110.92,105.2822,247,Miss,other
sample_0034,blue sphere,"[387, 336, 21, 16]","[387.6917266845703, 336.23637199401855, 21.2264347076416, 21.842647790908813]",0.6909,0.73,105.039,336,Good,blue sphere
sample_0034,yellow sphere,"[270, 374, 23, 21]","[270.280818939209, 374.7316074371338, 23.40160846710205, 24.692839980125427]",0.8305,0.78,89.3746,483,Good,yellow sphere
sample_0035,red sphere,"[258, 341, 21, 17]","[258.64086151123047, 342.2464370727539, 21.347222328186035, 22.289185523986816]",0.7216,1.4,92.2441,357,Good,red sphere
sample_0035,green sphere,"[377, 324, 20, 15]","[377.3881149291992, 324.8159122467041, 19.95061993598938, 20.847235321998596]",0.6961,0.9,105.5383,300,Good,green sphere
sample_0035,blue sphere,"[431, 395, 25, 23]","[431.7582702636719, 395.7506561279297, 25.02889394760132, 27.07049310207367]",0.8031,1.07,107.9259,575,Good,blue sphere
sample_0035,yellow sphere,"[319, 333, 21, 16]","[319.8372268676758, 333.6342144012451, 20.163652896881104, 21.12157166004181]",0.7084,1.05,87.6844,336,Good,yellow sphere
sample_0036,red sphere,"[263, 280, 17, 11]","[263.1620788574219, 280.7915210723877, 17.71965503692627, 17.026299834251404]",0.6198,0.81,88.5922,187,Good,red sphere
sample_0036,green sphere,"[362, 323, 19, 14]","[426.87061309814453, 304.7028350830078, 19.028034210205078, 19.139567613601685]",0.0,67.4,100.9525,266,Miss,other
sample_0036,blue sphere,"[445, 360, 22, 19]","[445.76122283935547, 360.15655517578125, 23.20352077484131, 23.916349411010742]",0.7437,0.78,106.2261,418,Good,blue sphere
sample_0036,yellow sphere,"[427, 304, 19, 13]","[426.8563461303711, 304.6827793121338, 18.932007551193237, 19.10740077495575]",0.6721,0.7,94.852,247,Good,yellow sphere
sample_0037,red sphere,"[421, 298, 18, 12]","[420.94348907470703, 298.1352996826172, 18.60620617866516, 17.9656183719635]",0.6462,0.15,97.2036,216,Good,red sphere
sample_0037,green sphere,"[433, 344, 22, 17]","[433.28372955322266, 344.7778129577637, 21.682851314544678, 22.552050948143005]",0.7381,0.83,108.5783,374,Good,green sphere
sample_0037,blue sphere,"[361, 341, 21, 17]","[361.46690368652344, 341.0969924926758, 21.222925186157227, 22.03965425491333]",0.7407,0.48,104.4797,357,Good,blue sphere
sample_0037,yellow sphere,"[369, 366, 22, 19]","[369.38289642333984, 366.68835639953613, 22.97511339187622, 24.30096924304962]",0.7487,0.79,93.797,418,Good,yellow sphere
sample_0038,red sphere,"[364, 391, 24, 22]","[364.0696716308594, 391.7618179321289, 24.49610471725464, 26.930020451545715]",0.8004,0.76,104.7578,528,Good,red sphere
sample_0038,green sphere,"[424, 316, 19, 14]","[424.77203369140625, 316.09622955322266, 20.649943351745605, 19.96363341808319]",0.6452,0.78,103.6881,266,Good,green sphere
sample_0038,blue sphere,"[309, 400, 25, 23]","[309.64277267456055, 400.5270195007324, 24.844024181365967, 28.405719995498657]",0.7731,0.83,97.7078,575,Good,blue sphere
sample_0038,yellow sphere,"[234, 341, 21, 17]","[234.11483764648438, 341.62413597106934, 21.161844730377197, 22.354833483695984]",0.7525,0.63,80.3601,357,Good,yellow sphere
sample_0039,red sphere,"[379, 339, 20, 17]","[379.2191696166992, 340.27095794677734, 21.509897708892822, 21.70792043209076]",0.7282,1.29,106.1828,340,Good,red sphere
sample_0039,green sphere,"[308, 355, 22, 18]","[307.8370666503906, 356.2825870513916, 22.24419116973877, 24.141122102737427]",0.7351,1.29,95.7757,396,Good,green sphere
sample_0039,blue sphere,"[253, 394, 24, 22]","[253.10726165771484, 394.0090084075928, 25.388810634613037, 27.64944076538086]",0.7522,0.11,96.4569,528,Good,blue sphere
sample_0039,yellow sphere,"[317, 279, 17, 11]","[317.0608901977539, 278.8006782531738, 17.18900442123413, 17.403904795646667]",0.6251,0.21,85.8357,187,Good,yellow sphere
