sample,color,gt_box,pred_box,IoU,center_err,contrast,bbox_pixel_area,failure_type,predicted_color
sample_0002,yellow sphere,"[297, 312, 19, 14]","[297.5531196594238, 312.12143898010254, 18.682053089141846, 19.83223021030426]",0.6729,0.57,85.7918,266,Good,yellow sphere
sample_0002,black sphere,"[217, 397, 24, 23]","[217.15810775756836, 398.19302558898926, 25.524168014526367, 27.82075345516205]",0.7774,1.2,61.2938,552,Good,black sphere
sample_0003,red sphere,"[283, 291, 18, 12]","[283.1152153015137, 291.52536392211914, 18.069257736206055, 18.076279163360596]",0.6564,0.54,84.1463,216,Good,red sphere
sample_0003,green sphere,"[259, 307, 19, 13]","[259.7391891479492, 308.00379753112793, 19.006212949752808, 19.931187629699707]",0.6113,1.25,85.3246,247,Good,green sphere
sample_0003,blue sphere,"[372, 304, 18, 13]","[371.9961166381836, 304.6220397949219, 19.048091173171997, 19.188260436058044]",0.6402,0.62,101.1591,234,Good,blue sphere
sample_0003,yellow sphere,"[324, 316, 19, 14]","[324.1947555541992, 317.1045398712158, 19.396742582321167, 19.941766262054443]",0.6877,1.12,90.0321,266,Good,yellow sphere
sample_0003,black sphere,"[427, 362, 22, 18]",,0.0,99999,81.8017,396,Miss,other
sample_0004,red sphere,"[227, 282, 17, 11]","[227.5371551513672, 283.15961837768555, 18.05023193359375, 18.028024435043335]",0.574,1.28,96.1042,187,Good,red sphere
sample_0004,green sphere,"[365, 357, 22, 19]","[230.57395935058594, 376.1751937866211, 23.080995082855225, 25.588154196739197]",0.0,135.79,103.5841,418,Miss,other
sample_0004,blue sphere,"[387, 323, 20, 15]","[230.54718017578125, 376.22523307800293, 23.18373441696167, 25.61630666255951]",0.0,165.26,107.9041,300,Miss,other
sample_0004,yellow sphere,"[230, 376, 23, 20]","[230.6147003173828, 376.1593723297119, 23.083786964416504, 25.55370569229126]",0.7459,0.64,89.2236,460,Good,yellow sphere
sample_0004,black sphere,"[333, 290, 17, 12]",,0.0,99999,79.2087,204,Miss,other
sample_0005,red sphere,"[392, 356, 21, 18]","[391.4882278442383, 357.6629447937012, 22.303130626678467, 23.083841800689697]",0.7342,1.74,104.8059,378,Good,red sphere
sample_0005,green sphere,"[442, 377, 24, 20]","[442.2965621948242, 377.6440715789795, 24.05745506286621, 25.24250864982605]",0.7748,0.71,106.4823,480,Good,green sphere
sample_0005,blue sphere,"[323, 300, 18, 12]","[442.26383209228516, 377.68956184387207, 24.0966796875, 25.183265805244446]",0.0,142.34,93.2045,216,Miss,other
sample_0005,yellow sphere,"[246, 291, 18, 12]","[246.67116165161133, 292.0965099334717, 18.071305751800537, 18.17848026752472]",0.6199,1.29,81.0442,216,Good,yellow sphere
sample_0005,black sphere,"[294, 332, 21, 16]",,0.0,99999,67.5248,336,Miss,other
sample_0006,red sphere,"[419, 379, 24, 20]","[419.2145538330078, 379.7655487060547, 23.89141082763672, 25.20054280757904]",0.7813,0.8,105.4277,480,Good,red sphere
sample_0006,green sphere,"[308, 333, 21, 16]","[308.69985580444336, 333.7089443206787, 20.483405590057373, 21.583070755004883]",0.701,1.0,93.798,336,Good,green sphere
sample_0006,blue sphere,"[390, 279, 17, 11]","[390.30445098876953, 279.1473197937012, 17.80208706855774, 17.835779786109924]",0.589,0.34,103.4206,187,Good,blue sphere
sample_0006,yellow sphere,"[324, 303, 18, 13]","[324.41577911376953, 302.5795269012451, 18.576500415802002, 18.882157802581787]",0.6593,0.59,88.6999,234,Good,yellow sphere
sample_0006,black sphere,"[205, 393, 24, 23]","[205.28657913208008, 393.74293327331543, 25.589148998260498, 27.12447702884674]",0.7953,0.8,60.8342,552,Good,black sphere
sample_0007,red sphere,"[414, 360, 23, 19]","[414.6694564819336, 361.3941478729248, 22.639164924621582, 23.755926489830017]",0.7597,1.55,110.402,437,Good,red sphere
sample_0007,green sphere,"[221, 340, 21, 16]","[221.3143539428711, 340.5193519592285, 21.76442861557007, 22.350051999092102]",0.6907,0.61,85.4443,336,Good,green sphere
sample_0007,blue sphere,"[428, 308, 18, 13]","[428.26744079589844, 308.97531509399414, 19.953312873840332, 19.81860637664795]",0.5917,1.01,100.99,234,Good,blue sphere
sample_0007,yellow sphere,"[362, 314, 19, 14]","[362.0960998535156, 314.2354202270508, 19.160343408584595, 19.700453281402588]",0.7037,0.25,91.7824,266,Good,yellow sphere
sample_0007,black sphere,"[200, 328, 20, 15]","[199.76213455200195, 328.6019039154053, 20.995938777923584, 21.18370234966278]",0.6745,0.65,51.2618,300,Good,black sphere
sample_0008,red sphere,"[422, 289, 18, 12]","[422.23514556884766, 290.20803451538086, 18.052167892456055, 18.290807604789734]",0.6417,1.23,104.6359,216,Good,red sphere
sample_0008,green sphere,"[335, 350, 21, 17]","[211.2244987487793, 344.227237701416, 21.504709720611572, 21.62240445613861]",0.0,123.91,104.3638,357,Miss,other
sample_0008,blue sphere,"[378, 285, 18, 12]","[378.4046936035156, 285.3073024749756, 17.69899606704712, 18.156532645225525]",0.6382,0.51,104.6066,216,Good,blue sphere
sample_0008,yellow sphere,"[211, 344, 21, 16]","[211.27630233764648, 344.19568061828613, 21.55637502670288, 21.66457772254944]",0.7195,0.34,81.016,336,Good,yellow sphere
sample_0008,black sphere,"[222, 312, 19, 14]","[222.14982986450195, 312.1978569030762, 19.654093980789185, 19.627920985221863]",0.6895,0.25,58.8818,266,Good,black sphere
sample_0009,red sphere,"[263, 352, 21, 18]","[262.95907974243164, 353.0126953125, 22.306606769561768, 23.66417169570923]",0.7161,1.01,92.8382,378,Good,red sphere
sample_0009,green sphere,"[337, 291, 18, 12]","[349.82349395751953, 364.17423248291016, 22.559669017791748, 24.223621487617493]",0.0,74.29,102.786,216,Miss,other
sample_0009,blue sphere,"[378, 380, 23, 21]","[378.4781265258789, 381.02439880371094, 23.66929054260254, 25.60303509235382]",0.7881,1.13,105.2452,483,Good,blue sphere
sample_0009,yellow sphere,"[349, 363, 23, 19]","[349.87640380859375, 364.1445064544678, 22.608840465545654, 24.221346974372864]",0.7335,1.44,93.5946,437,Good,yellow sphere
sample_0009,black sphere,"[258, 284, 17, 12]","[258.31298828125, 284.229154586792, 17.53534436225891, 18.227351903915405]",0.6355,0.39,58.716,204,Good,black sphere
sample_0010,red sphere,"[372, 378, 23, 20]","[372.2492218017578, 378.98789405822754, 23.52545976638794, 26.063278913497925]",0.7502,1.02,104.0954,460,Good,red sphere
sample_0010,green sphere,"[257, 316, 20, 14]","[257.32311248779297, 316.18703842163086, 19.94641661643982, 19.811473488807678]",0.6876,0.37,84.4994,280,Good,green sphere
sample_0010,blue sphere,"[313, 325, 20, 15]","[312.9838180541992, 325.68325996398926, 20.398857593536377, 20.818256735801697]",0.7064,0.68,97.6617,300,Good,blue sphere
sample_0010,yellow sphere,"[285, 289, 18, 12]","[285.4413604736328, 289.3920421600342, 17.7267324924469, 18.008315563201904]",0.641,0.59,78.3965,216,Good,yellow sphere
sample_0010,black sphere,"[195, 355, 22, 18]",,0.0,99999,54.2281,396,Miss,other
sample_0011,red sphere,"[230, 337, 20, 16]","[230.6778335571289, 338.14990997314453, 20.949647426605225, 22.001582980155945]",0.6824,1.33,85.7272,320,Good,red sphere
sample_0011,green sphere,"[271, 344, 21, 17]","[271.7621040344238, 344.73618507385254, 21.689484119415283, 22.944697737693787]",0.6932,1.06,91.8201,357,Good,green sphere
sample_0011,blue sphere,"[366, 333, 20, 16]","[366.0121154785156, 333.73183250427246, 20.702602863311768, 20.983076691627502]",0.7366,0.73,99.8798,320,Good,blue sphere
sample_0011,yellow sphere,"[269, 279, 17, 11]","[269.1362953186035, 279.7879886627197, 17.318425178527832, 16.993378400802612]",0.6354,0.8,80.7322,187,Good,yellow sphere
sample_0011,black sphere,"[391, 303, 19, 13]",,0.0,99999,91.9001,247,Miss,other
sample_0012,red sphere,"[276, 396, 25, 23]","[275.63379287719727, 397.2997570037842, 24.835827350616455, 28.02010953426361]",0.7996,1.35,97.2158,575,Good,red sphere
sample_0012,green sphere,"[326, 346, 21, 17]","[251.2059211730957, 323.1524848937988, 19.88032341003418, 20.261290669441223]",0.0,78.21,99.7016,357,Miss,other
sample_0012,blue sphere,"[405, 355, 22, 18]","[404.9007034301758, 355.783166885376, 22.603790760040283, 22.949641942977905]",0.7634,0.79,105.3906,396,Good,blue sphere
sample_0012,yellow sphere,"[251, 323, 20, 15]","[251.24826431274414, 323.0763530731201, 19.9320387840271, 20.27815282344818]",0.7242,0.26,79.2437,300,Good,yellow sphere
sample_0012,black sphere,"[382, 330, 20, 15]",,0.0,99999,80.1198,300,Miss,other
sample_0013,red sphere,"[300, 306, 19, 14]","[299.9071502685547, 306.76955223083496, 18.457083702087402, 18.936472535133362]",0.7236,0.78,93.341,266,Good,red sphere
sample_0013,green sphere,"[343, 289, 17, 12]","[244.16351318359375, 289.4594478607178, 18.17094326019287, 17.79037356376648]",0.0,98.84,98.0375,204,Miss,other
sample_0013,blue sphere,"[303, 348, 21, 17]","[244.14356231689453, 289.5125484466553, 18.19459319114685, 17.699831128120422]",0.0,82.98,95.7403,357,Miss,other
sample_0013,yellow sphere,"[244, 289, 17, 12]","[244.18140411376953, 289.43724632263184, 18.03673028945923, 17.860845923423767]",0.6332,0.47,80.7447,204,Good,yellow sphere
sample_0013,black sphere,"[347, 365, 22, 19]",,0.0,99999,83.6922,418,Miss,other
sample_0014,red sphere,"[419, 295, 18, 12]","[419.71946716308594, 296.25972747802734, 18.6542809009552, 18.311344385147095]",0.6102,1.45,102.9688,216,Good,red sphere
sample_0014,green sphere,"[231, 279, 17, 11]","[231.20044708251953, 279.74066734313965, 17.919645309448242, 17.205936312675476]",0.6065,0.77,95.6604,187,Good,green sphere
sample_0014,blue sphere,"[306, 285, 17, 11]","[306.3182258605957, 285.838680267334, 17.902613878250122, 17.1660178899765]",0.6085,0.9,90.6709,187,Good,blue sphere
sample_0014,yellow sphere,"[314, 314, 19, 14]","[231.19714736938477, 279.72644805908203, 17.758958339691162, 17.044485211372375]",0.0,89.62,89.2659,266,Miss,other
sample_0014,black sphere,"[350, 345, 22, 17]",,0.0,99999,91.3221,374,Miss,other
sample_0015,red sphere,"[240, 300, 18, 13]","[297.36459732055664, 292.39068031311035, 17.566564083099365, 17.97772228717804]",0.0,57.87,88.3924,234,Miss,other
sample_0015,green sphere,"[241, 284, 18, 11]","[297.3830795288086, 292.3557472229004, 17.61337399482727, 18.02033007144928]",0.0,57.0,89.3656,198,Miss,other
sample_0015,blue sphere,"[377, 297, 18, 13]","[377.7053451538086, 297.7803611755371, 18.715715408325195, 18.438434600830078]",0.6564,1.05,106.5882,234,Good,blue sphere
sample_0015,yellow sphere,"[297, 292, 18, 12]","[297.3574447631836, 292.33431816101074, 17.553411722183228, 18.004644513130188]",0.6471,0.49,82.5249,216,Good,yellow sphere
sample_0015,black sphere,"[402, 349, 22, 18]",,0.0,99999,92.379,396,Miss,other
sample_0016,red sphere,"[388, 308, 19, 13]","[387.9710006713867, 309.11630630493164, 19.03304100036621, 20.029351115226746]",0.6472,1.12,107.7104,247,Good,red sphere
sample_0016,green sphere,"[318, 372, 23, 20]","[317.6861572265625, 373.3047866821289, 22.881815433502197, 25.39433777332306]",0.7689,1.34,99.9954,460,Good,green sphere
sample_0016,blue sphere,"[391, 368, 23, 20]","[391.4265823364258, 368.4489154815674, 23.150510787963867, 24.57462251186371]",0.7865,0.62,105.5115,460,Good,blue sphere
sample_0016,yellow sphere,"[439, 375, 23, 20]","[440.07911682128906, 375.4715824127197, 24.315452575683594, 25.358081459999084]",0.7225,1.18,95.3196,460,Good,yellow sphere
sample_0016,black sphere,"[390, 399, 25, 23]",,0.0,99999,84.0674,575,Miss,other
sample_0017,red sphere,"[247, 368, 23, 19]","[247.59599685668945, 369.76452827453613, 22.703125476837158, 24.80348289012909]",0.7325,1.86,93.6122,437,Good,red sphere
sample_0017,green sphere,"[218, 307, 19, 13]","[218.72249603271484, 308.23256492614746, 18.82012128829956, 20.08660912513733]",0.6084,1.43,90.1674,247,Good,green sphere
sample_0017,blue sphere,"[318, 287, 18, 11]","[218.68667602539062, 308.2547950744629, 18.896512985229492, 20.089741945266724]",0.0,101.56,96.2695,198,Miss,other
sample_0017,yellow sphere,"[337, 308, 19, 14]","[337.28450775146484, 308.24841499328613, 18.895965814590454, 19.930999875068665]",0.6852,0.38,91.5646,266,Good,yellow sphere
sample_0017,black sphere,"[389, 326, 20, 15]",,0.0,99999,85.8965,300,Miss,other
sample_0018,red sphere,"[238, 289, 18, 11]","[238.21218490600586, 290.35457611083984, 17.598155736923218, 18.121765851974487]",0.5981,1.37,89.5136,198,Good,red sphere
sample_0018,green sphere,"[443, 354, 22, 18]","[202.0360565185547, 388.2927989959717, 24.81818437576294, 26.530494689941406]",0.0,243.39,103.6727,396,Miss,other
sample_0018,blue sphere,"[288, 381, 23, 21]","[288.0532646179199, 382.2227668762207, 23.721070289611816, 25.955094695091248]",0.7845,1.22,96.854,483,Good,blue sphere
sample_0018,yellow sphere,"[202, 388, 24, 22]","[202.03140258789062, 388.2246208190918, 24.808051586151123, 26.53253674507141]",0.8022,0.23,91.1746,528,Good,yellow sphere
sample_0018,black sphere,"[373, 340, 21, 17]","[288.07703018188477, 382.2613048553467, 23.634531497955322, 25.915364027023315]",0.0,94.86,90.4699,357,Miss,other
sample_0019,red sphere,"[292, 310, 19, 13]","[292.5339889526367, 311.3228702545166, 18.637477159500122, 19.927536249160767]",0.6244,1.43,92.4235,247,Good,red sphere
sample_0019,green sphere,"[335, 284, 17, 11]","[335.41126251220703, 284.8535442352295, 17.49825119972229, 17.538843154907227]",0.6,0.95,102.4753,187,Good,green sphere
sample_0019,blue sphere,"[312, 325, 20, 15]","[312.8228187561035, 325.5691909790039, 20.01641035079956, 20.469067096710205]",0.682,1.0,95.1788,300,Good,blue sphere
sample_0019,yellow sphere,"[356, 292, 18, 12]","[356.3494110107422, 292.2777557373047, 17.824318408966064, 18.011603951454163]",0.6459,0.45,91.1399,216,Good,yellow sphere
sample_0019,black sphere,"[326, 380, 24, 21]",,0.0,99999,81.9867,504,Miss,other
sample_0020,red sphere,"[446, 393, 24, 23]","[446.23096466064453, 394.4373035430908, 25.838160514831543, 27.31446146965027]",0.7821,1.46,108.1765,552,Good,red sphere
sample_0020,green sphere,"[377, 376, 23, 20]","[377.2820281982422, 377.4302387237549, 23.849284648895264, 25.604276061058044]",0.7533,1.46,105.3944,460,Good,green sphere
sample_0020,blue sphere,"[341, 322, 20, 15]","[341.41246795654297, 322.6750659942627, 20.049612522125244, 21.071176528930664]",0.6869,0.79,104.2084,300,Good,blue sphere
sample_0020,yellow sphere,"[419, 359, 22, 19]","[419.5684814453125, 359.33223724365234, 22.705931663513184, 23.78170073032379]",0.7607,0.66,96.2206,418,Good,yellow sphere
sample_0020,black sphere,"[206, 344, 21, 17]",,0.0,99999,53.3581,357,Miss,other
sample_0021,red sphere,"[215, 312, 19, 14]","[215.7648468017578, 312.65055656433105, 19.172260761260986, 19.23496127128601]",0.6781,1.0,88.7485,266,Good,red sphere
sample_0021,green sphere,"[378, 308, 19, 14]","[377.8837203979492, 308.64200592041016, 18.849152326583862, 19.341647028923035]",0.717,0.65,104.5988,266,Good,green sphere
sample_0021,blue sphere,"[327, 286, 17, 11]","[327.01610565185547, 286.76198959350586, 17.448813915252686, 17.041490077972412]",0.6289,0.76,95.7078,187,Good,blue sphere
sample_0021,yellow sphere,"[333, 339, 21, 16]","[333.78795623779297, 339.3366050720215, 20.67775249481201, 21.352922916412354]",0.7024,0.86,92.4986,336,Good,yellow sphere
sample_0021,black sphere,"[241, 337, 21, 16]","[241.69055938720703, 337.32150077819824, 20.902435779571533, 21.66703462600708]",0.6976,0.76,58.5135,336,Good,black sphere
sample_0022,red sphere,"[368, 341, 21, 16]","[368.3592987060547, 341.9619083404541, 21.461215019226074, 22.608302235603333]",0.6853,1.03,103.9246,336,Good,red sphere
sample_0022,green sphere,"[268, 299, 18, 13]","[267.8678512573242, 299.8326015472412, 18.726006746292114, 18.966917395591736]",0.6588,0.84,84.8388,234,Good,green sphere
sample_0022,blue sphere,"[386, 278, 16, 11]","[386.3418197631836, 278.212308883667, 17.930887937545776, 16.370646357536316]",0.5996,0.4,97.9138,176,Good,blue sphere
sample_0022,yellow sphere,"[288, 308, 19, 13]","[289.02931213378906, 308.7409973144531, 18.830697536468506, 19.001378417015076]",0.6246,1.27,80.5665,247,Good,yellow sphere
sample_0022,black sphere,"[248, 332, 21, 16]","[248.63218307495117, 332.30481147766113, 20.52258014678955, 21.421539187431335]",0.7101,0.7,60.2193,336,Good,black sphere
sample_0023,red sphere,"[295, 328, 20, 16]","[295.7434272766113, 328.88036727905273, 20.438458919525146, 21.454864740371704]",0.6973,1.15,94.8843,320,Good,red sphere
sample_0023,green sphere,"[224, 360, 22, 19]","[223.66973876953125, 360.3819751739502, 22.654290199279785, 23.799181580543518]",0.7751,0.5,93.0644,418,Good,green sphere
sample_0023,blue sphere,"[398, 312, 19, 14]","[398.28369140625, 312.26932525634766, 19.568578004837036, 19.79826807975769]",0.6866,0.39,103.675,266,Good,blue sphere
sample_0023,yellow sphere,"[195, 353, 22, 17]","[194.8117446899414, 353.5939693450928, 22.74195909500122, 23.22541058063507]",0.7081,0.62,82.1332,374,Good,yellow sphere
sample_0023,black sphere,"[374, 389, 24, 22]","[398.28914642333984, 312.2877502441406, 19.493833780288696, 19.747377634048462]",0.0,80.47,87.4187,528,Miss,other
sample_0024,red sphere,"[416, 314, 19, 14]","[415.48046112060547, 315.117244720459, 19.48564648628235, 20.099011659622192]",0.6627,1.23,103.8936,266,Good,red sphere
sample_0024,green sphere,"[301, 324, 20, 15]","[301.3016128540039, 324.77869033813477, 20.157358646392822, 20.840089917182922]",0.7006,0.84,95.0499,300,Good,green sphere
sample_0024,blue sphere,"[360, 280, 17, 11]","[359.8637008666992, 280.70308685302734, 16.871391534805298, 17.165517210960388]",0.6333,0.72,102.699,187,Good,blue sphere
sample_0024,yellow sphere,"[397, 329, 20, 15]","[397.6570510864258, 329.94750022888184, 20.049386024475098, 20.768219232559204]",0.6822,1.15,95.9648,300,Good,yellow sphere
sample_0024,black sphere,"[233, 347, 21, 17]","[233.32454681396484, 346.78874015808105, 21.971960067749023, 22.56740927696228]",0.72,0.39,55.7389,357,Good,black sphere
sample_0025,red sphere,"[309, 276, 17, 10]","[309.90495681762695, 276.84465408325195, 17.174127101898193, 17.155086994171143]",0.5344,1.24,89.0857,170,Good,red sphere
sample_0025,green sphere,"[345, 286, 18, 11]","[414.9110412597656, 291.30005836486816, 18.4523868560791, 17.999183535575867]",0.0,70.11,104.6372,198,Miss,other
sample_0025,blue sphere,"[262, 318, 20, 14]","[262.2250747680664, 318.15104484558105, 20.170745849609375, 20.389389395713806]",0.6729,0.27,84.4819,280,Good,blue sphere
sample_0025,yellow sphere,"[415, 291, 17, 12]","[414.9527359008789, 291.2798881530762, 18.463544845581055, 18.020546436309814]",0.6131,0.28,91.2965,204,Good,yellow sphere
sample_0025,black sphere,"[368, 329, 20, 15]",,0.0,99999,83.1346,300,Miss,other
sample_0026,red sphere,"[229, 343, 21, 16]","[411.51378631591797, 313.3326244354248, 19.680886268615723, 20.000574588775635]",0.0,184.91,85.7091,336,Miss,other
sample_0026,green sphere,"[218, 285, 18, 11]","[218.3479881286621, 285.44291496276855, 18.03501605987549, 17.961432337760925]",0.5934,0.56,94.5571,198,Good,green sphere
sample_0026,blue sphere,"[411, 313, 19, 14]","[411.55094146728516, 313.35147857666016, 19.87111210823059, 20.03109633922577]",0.6615,0.65,104.6735,266,Good,blue sphere
sample_0026,yellow sphere,"[287, 363, 23, 19]","[287.8840446472168, 363.7459087371826, 22.691550254821777, 24.188450574874878]",0.7339,1.16,88.203,437,Good,yellow sphere
sample_0026,black sphere,"[242, 322, 20, 14]","[411.5504455566406, 313.35662841796875, 19.809417724609375, 20.033247470855713]",0.0,169.77,52.6684,280,Miss,other
sample_0027,red sphere,"[352, 305, 19, 13]","[193.21212768554688, 400.74520111083984, 25.912809371948242, 27.917913794517517]",0.0,185.42,104.0954,247,Miss,other
sample_0027,green sphere,"[193, 400, 25, 23]","[193.24007034301758, 400.6864643096924, 25.984549522399902, 27.933459877967834]",0.7922,0.73,94.8486,575,Good,green sphere
sample_0027,blue sphere,"[418, 395, 25, 22]","[193.1759262084961, 400.7328701019287, 26.01893663406372, 27.95005202293396]",0.0,224.9,105.4673,550,Miss,other
sample_0027,yellow sphere,"[305, 383, 24, 21]","[193.23806762695312, 400.6817150115967, 25.860729217529297, 27.85086214542389]",0.0,113.15,88.87,504,Miss,other
sample_0027,black sphere,"[383, 397, 25, 23]","[418.7693786621094, 395.5769348144531, 25.168755054473877, 26.969693899154663]",0.0,35.8,91.3841,575,Miss,other
sample_0028,red sphere,"[441, 385, 24, 21]","[440.95691680908203, 386.30842208862305, 24.89513397216797, 25.59026598930359]",0.7911,1.31,107.8808,504,Good,red sphere
sample_0028,green sphere,"[382, 308, 19, 13]","[381.8398666381836, 308.96058082580566, 18.87009620666504, 19.811981320381165]",0.6478,0.97,106.79,247,Good,green sphere
sample_0028,blue sphere,"[241, 308, 19, 13]","[241.78144454956055, 308.69104385375977, 19.04197096824646, 19.145625829696655]",0.6332,1.04,87.9834,247,Good,blue sphere
sample_0028,yellow sphere,"[273, 327, 20, 16]","[273.92505645751953, 327.4512577056885, 20.419950485229492, 20.901228189468384]",0.7041,1.03,84.8861,320,Good,yellow sphere
sample_0028,black sphere,"[394, 401, 24, 24]","[241.76000595092773, 308.68374824523926, 18.95816683769226, 19.1618674993515]",0.0,178.04,83.2176,576,Miss,other
sample_0029,red sphere,"[256, 292, 18, 12]","[256.30720138549805, 293.1327438354492, 17.958574295043945, 17.90976047515869]",0.6514,1.17,87.6559,216,Good,red sphere
sample_0029,green sphere,"[357, 323, 20, 14]","[357.3724365234375, 323.65665435791016, 19.894062280654907, 21.003127098083496]",0.6466,0.75,102.279,280,Good,green sphere
sample_0029,blue sphere,"[307, 370, 23, 20]","[306.97120666503906, 370.69759368896484, 23.426311016082764, 25.039395689964294]",0.7842,0.7,95.5771,460,Good,blue sphere
sample_0029,yellow sphere,"[410, 362, 22, 19]","[410.0992965698242, 362.6693344116211, 22.792184352874756, 24.14291203022003]",0.7596,0.68,95.6996,418,Good,yellow sphere
sample_0029,black sphere,"[420, 304, 18, 13]",,0.0,99999,71.2929,234,Miss,other
sample_0030,red sphere,"[429, 341, 21, 17]","[284.52362060546875, 337.96786308288574, 20.56011199951172, 21.845410466194153]",0.0,144.51,105.055,357,Miss,other
sample_0030,green sphere,"[421, 320, 20, 14]","[284.5958709716797, 337.9607105255127, 20.552282333374023, 21.863957047462463]",0.0,137.58,104.0769,280,Miss,other
sample_0030,blue sphere,"[363, 398, 25, 23]","[363.73191833496094, 398.9735698699951, 25.07105827331543, 27.475553154945374]",0.793,1.22,106.2415,575,Good,blue sphere
sample_0030,yellow sphere,"[284, 337, 21, 17]","[284.62621688842773, 337.9056644439697, 20.590436458587646, 21.871359944343567]",0.7382,1.1,86.2717,357,Good,yellow sphere
sample_0030,black sphere,"[398, 379, 23, 21]",,0.0,99999,83.9908,483,Miss,other
sample_0031,red sphere,"[275, 337, 21, 16]","[274.81197357177734, 338.3240032196045, 20.822067260742188, 21.818860173225403]",0.7228,1.34,92.2285,336,Good,red sphere
sample_0031,green sphere,"[259, 300, 18, 12]","[259.0302276611328, 300.5823612213135, 18.573760986328125, 19.334734082221985]",0.6015,0.58,84.5934,216,Good,green sphere
sample_0031,blue sphere,"[343, 280, 17, 11]","[343.3023452758789, 280.68583488464355, 17.998454570770264, 17.030235528945923]",0.6101,0.75,100.9321,187,Good,blue sphere
sample_0031,yellow sphere,"[296, 309, 19, 13]","[296.4312934875488, 309.82303619384766, 19.256595373153687, 18.909180164337158]",0.6604,0.93,87.9701,247,Good,yellow sphere
sample_0031,black sphere,"[412, 311, 19, 14]",,0.0,99999,87.2316,266,Miss,other
sample_0032,red sphere,"[373, 303, 18, 13]","[372.97019958496094, 304.0811347961426, 18.79643678665161, 19.517685770988464]",0.6378,1.08,104.9263,234,Good,red sphere
sample_0032,green sphere,"[371, 393, 25, 23]","[371.6225814819336, 394.18381690979004, 24.696781635284424, 27.215698957443237]",0.8076,1.34,107.2645,575,Good,green sphere
sample_0032,blue sphere,"[211, 326, 20, 15]","[211.66091918945312, 326.72364234924316, 20.428102016448975, 20.81847846508026]",0.679,0.98,87.8694,300,Good,blue sphere
sample_0032,yellow sphere,"[274, 377, 23, 20]","[274.25344467163086, 377.22636222839355, 23.485102653503418, 25.494573712348938]",0.7676,0.34,89.8278,460,Good,yellow sphere
sample_0032,black sphere,"[239, 324, 20, 15]","[239.2840576171875, 324.77540016174316, 19.98533844947815, 21.079958081245422]",0.6945,0.83,55.8165,300,Good,black sphere
sample_0033,red sphere,"[426, 326, 20, 16]","[425.75695037841797, 326.92726135253906, 20.943245887756348, 20.728161334991455]",0.7371,0.96,100.6565,320,Good,red sphere
sample_0033,green sphere,"[423, 293, 18, 12]","[423.09154510498047, 294.2390727996826, 18.369088172912598, 18.182884454727173]",0.6467,1.24,103.053,216,Good,green sphere
sample_0033,blue sphere,"[349, 340, 21, 16]","[349.30145263671875, 340.25779724121094, 21.23429775238037, 22.127376794815063]",0.7044,0.4,102.5687,336,Good,blue sphere
sample_0033,yellow sphere,"[303, 286, 18, 12]","[303.0830383300781, 286.20829582214355, 17.391867637634277, 18.105804920196533]",0.6478,0.22,84.4356,216,Good,yellow sphere
